mean_erythema,p90_erythema,red_excess_ratio,p90_red_excess,rg_ratio,rb_ratio,mean_hue,std_hue,mean_saturation,std_saturation,mean_value,std_value,ycbcr_cr_mean,ycbcr_cr_std,skin_pixel_fraction,sobel_roughness,p90_roughness,sobel_direction_entropy,laplacian_sharpness,chromatic_dispersion,luminance_convexity,texture_contrast,texture_homogeneity,edge_density,category_index,category_name
16.309,37.4979,11.2042,26.6244,1.2263,1.5664,16.093,21.804,52.1013,15.8044,189.6462,27.76,161.1947,17.1972,0.9092,31.7794,72.5157,2.7453,1283.9889,51.8011,22.0535,21.8192,40.0774,24.2004,0,Infection_Indicators
19.8446,37.7753,31.6397,41.8361,1.4152,1.5853,16.8332,12.7558,48.5429,14.8147,139.3657,38.1571,160.2499,21.2446,0.8455,29.441,74.0415,2.6824,1356.675,86.0433,11.6666,21.2316,54.6449,34.6953,0,Infection_Indicators
20.0926,50.6542,16.4095,25.1049,1.1737,1.15,28.8698,10.0872,44.0087,16.7543,135.6481,37.7102,162.0233,13.6677,0.9653,47.0593,85.4809,2.598,1296.39,77.2278,16.6515,28.0408,44.4482,14.5706,0,Infection_Indicators
14.6187,41.1383,16.8767,32.6901,1.3243,1.1613,21.3733,17.3945,66.7037,22.8394,74.5165,32.549,168.6796,18.4942,0.9683,41.4518,67.8547,2.821,999.8128,63.6468,17.3138,15.4397,53.3039,20.2517,0,Infection_Indicators
18.8743,37.982,24.5083,39.9138,1.3012,1.4024,15.2325,17.0931,44.9115,19.8879,128.7502,28.9378,161.0567,14.5087,0.9991,32.8163,81.6991,2.4059,1189.8739,80.7866,8.3265,10.4351,30.7947,31.2068,0,Infection_Indicators
31.666,44.9631,19.1822,32.142,1.5806,1.7019,26.8285,18.3258,40.3769,21.7253,129.3591,41.1869,163.8113,13.4029,0.9269,30.0196,67.6276,2.9416,927.2817,48.0512,10.627,20.1885,46.8405,14.1245,0,Infection_Indicators
17.0795,41.803,34.9665,50.3943,1.2883,1.2465,17.2134,18.855,62.9613,24.9446,119.723,24.1627,156.9862,8.9262,0.8247,53.0101,106.6875,2.6908,1305.44,54.4114,9.3203,9.0,42.7799,34.5196,0,Infection_Indicators
27.6753,42.3824,15.3945,30.411,1.3695,1.4194,14.3134,10.9302,49.1952,17.005,121.1944,25.5402,153.8732,22.2724,0.9442,40.5967,61.9412,2.6079,1140.6577,43.6415,6.9487,14.8402,44.9766,23.5677,0,Infection_Indicators
12.0,38.6164,14.8214,32.597,1.4312,1.1993,20.4091,9.0737,50.1979,17.8396,105.6974,40.1532,150.8579,12.759,0.9627,39.5887,64.1794,3.0,1271.5266,76.4759,14.7058,18.7978,36.3793,23.5599,0,Infection_Indicators
18.2027,38.438,28.0957,41.9074,1.2205,1.4118,25.7067,14.7281,40.1748,17.735,125.4303,36.2173,151.0368,13.9583,0.8326,34.4174,62.6127,2.9637,955.8106,73.2055,15.2699,20.8085,42.5117,18.2169,0,Infection_Indicators
21.4543,49.8963,16.0917,26.6567,1.3359,1.1699,23.4123,11.8274,62.8597,22.8602,112.0536,40.9671,156.475,19.4111,0.7895,45.9994,78.6699,2.8185,966.0899,56.7343,10.1795,23.5416,59.5002,16.061,0,Infection_Indicators
33.1568,53.5121,22.3394,40.1487,1.4808,1.6292,13.2927,13.479,46.2945,16.7989,190.8585,33.5677,150.3624,18.3858,0.9645,42.8589,91.2686,2.9176,978.5354,30.0,13.3384,28.8358,42.2706,10.0,0,Infection_Indicators
22.2406,36.2534,20.8752,29.7537,1.2652,1.2524,26.7538,13.2107,56.9544,24.8459,140.9662,28.9787,158.8261,15.9032,0.9085,36.444,69.4482,2.6015,914.1531,67.6209,15.1332,19.4466,47.6936,19.9131,0,Infection_Indicators
13.7,29.9528,22.3283,28.7266,1.464,1.1893,22.4733,17.1698,35.0912,21.754,151.954,36.5527,149.2358,16.6005,0.8618,50.0798,91.9458,2.7019,1201.1747,62.858,13.2499,15.3446,41.2251,25.7409,0,Infection_Indicators
27.476,39.8361,26.9052,44.4589,1.189,1.5738,16.4274,17.7322,49.3056,26.2718,116.5307,29.5548,155.8641,14.7873,0.8253,26.8606,58.8574,2.8369,1480.123,94.791,13.5822,19.9871,43.5604,30.5522,0,Infection_Indicators
29.4854,58.0711,24.6522,41.1999,1.4115,1.83,10.3118,11.7483,59.2665,16.4159,172.7161,33.6101,170.7364,11.5478,0.9078,53.3676,82.865,2.8313,713.8008,64.5429,12.9736,9.0,46.3939,23.9317,0,Infection_Indicators
19.3645,36.4524,21.43,31.7722,1.2344,1.3941,16.9393,11.7303,33.3431,17.626,107.9056,37.3204,156.5771,10.1698,0.7514,47.0069,89.8889,2.6334,349.931,66.0705,13.3595,25.028,44.7056,18.1122,0,Infection_Indicators
26.8453,52.8904,26.371,44.2848,1.2641,1.2955,12.387,7.068,53.4821,17.1833,170.4404,42.7193,162.4487,13.8305,0.9888,33.4678,63.7721,2.742,1157.9471,52.9341,11.1668,23.0569,36.3416,10.0,0,Infection_Indicators
23.6056,37.2092,20.1828,30.44,1.3436,1.4707,13.7661,20.1437,45.1127,18.0848,160.6643,33.6325,162.672,17.1485,0.931,37.0555,62.741,2.6083,1086.708,60.2539,13.4858,9.7089,38.6102,23.6035,0,Infection_Indicators
30.6349,59.547,26.085,40.3949,1.5776,1.2807,14.4695,10.1217,43.6081,24.4504,165.5614,35.4208,143.2648,13.2273,0.8955,46.3195,94.5429,2.4706,705.2856,90.6764,12.987,13.7132,35.2848,20.204,0,Infection_Indicators
24.3995,44.5921,19.9836,29.7182,1.4551,1.6585,13.0751,12.1301,45.7623,19.2607,138.8079,34.9684,152.6831,15.9422,0.8764,38.3062,59.8661,2.7814,1064.6548,57.3398,12.9648,30.5919,47.4874,21.0794,0,Infection_Indicators
26.6871,55.2213,23.8131,41.6213,1.1044,1.1622,21.539,6.3442,47.6497,12.6887,186.4563,33.7532,154.4659,20.9109,0.8256,28.898,51.2039,2.6269,595.4181,48.4293,14.2445,23.9637,50.6914,11.1393,0,Infection_Indicators
12.0,43.877,19.471,36.0348,1.4741,1.7133,13.0982,16.4868,41.8122,17.5232,207.8869,21.4792,157.7762,17.8708,0.8833,35.8471,87.6155,2.762,1348.6288,57.347,15.5084,20.8244,52.0084,22.6659,0,Infection_Indicators
25.3704,45.1012,15.1193,27.2546,1.7002,1.3568,24.731,13.1524,49.7323,24.7136,161.3161,30.5688,155.0532,20.0143,0.8776,40.2041,60.9687,2.7492,1882.8255,59.6545,17.8078,27.6069,39.7203,18.144,0,Infection_Indicators
28.8337,46.7261,21.4981,27.6699,1.4215,1.4826,15.9209,16.2277,53.2037,21.3943,170.2783,36.9581,158.4601,20.2806,0.7722,28.2861,64.5878,2.7164,829.9287,61.3987,10.8303,19.1522,27.8511,24.3864,0,Infection_Indicators
28.2373,41.6953,22.7485,33.583,1.1803,1.2779,23.19,11.9804,44.6057,21.1533,149.4322,36.4335,145.2144,15.4699,0.9101,41.7176,76.0302,2.7616,758.1308,70.0307,14.0319,27.0223,60.4999,14.6126,0,Infection_Indicators
23.2302,51.6809,15.7478,31.3953,1.4684,1.8415,20.8836,12.4641,45.7698,10.0392,115.6057,29.135,152.3314,16.6094,0.9372,24.3842,55.431,2.7223,968.8421,66.7934,17.3004,15.7972,37.7351,21.0258,0,Infection_Indicators
35.0499,64.8874,18.4438,29.6496,1.2883,1.521,18.6854,22.4268,60.119,12.0236,156.9449,26.2852,157.3405,16.2735,0.9403,42.5896,74.5117,2.7496,1181.3212,58.8757,12.2476,21.8387,46.2634,22.1877,0,Infection_Indicators
19.507,38.9032,13.2999,19.9282,1.2565,1.6324,20.5684,15.7019,51.5999,12.8753,158.7822,31.4696,160.6934,11.7126,0.9019,30.7249,76.7905,2.6573,752.1348,84.2578,9.2424,30.856,35.795,27.1495,0,Infection_Indicators
12.0,40.7096,20.0632,26.2396,1.1065,1.2186,17.9534,6.0,53.0108,8.0,119.4526,32.1051,159.7664,15.8333,0.8798,26.1911,77.1508,2.8871,1148.3027,91.8563,13.0492,22.1534,50.8468,18.1755,0,Infection_Indicators
23.2678,52.2091,19.7257,26.0089,1.3443,1.439,17.9286,20.4595,31.5919,14.2718,135.9349,20.4977,154.769,22.6459,0.7645,40.4295,63.4537,2.7277,595.9341,52.9055,12.4992,19.0937,53.2532,26.625,0,Infection_Indicators
16.5992,42.0818,32.0543,41.1732,1.4094,1.3621,17.7377,7.1572,48.9706,20.7897,116.2184,30.9092,156.265,18.3383,0.8105,60.5785,83.6281,2.721,1436.6113,52.8825,22.7506,9.6332,38.4904,22.4603,0,Infection_Indicators
21.9085,53.121,21.3556,29.7187,1.1,1.4739,28.7167,9.0473,47.7074,15.0211,163.5177,32.134,151.5096,17.9515,0.8692,26.4932,72.1178,2.8446,717.4254,72.5033,19.9365,23.1337,40.4955,22.9954,0,Infection_Indicators
35.1287,51.5702,15.0446,24.9046,1.3857,1.5143,18.2616,11.0083,45.8223,15.8104,139.0766,34.373,150.6941,9.7346,0.9799,36.3801,72.0784,2.9182,1199.0048,66.7073,14.4021,24.5264,52.5357,19.1503,0,Infection_Indicators
16.6463,32.4782,23.2585,40.2774,1.322,1.2474,17.0462,17.2453,46.9531,20.6299,186.0288,21.0503,167.3205,16.4174,0.8206,42.2423,100.1006,2.6764,1024.3518,80.5897,13.4898,30.0669,31.3906,22.9214,0,Infection_Indicators
19.7921,33.2153,21.5306,28.3587,1.3216,1.5135,25.075,13.0248,41.6929,22.3098,158.7409,37.1841,149.3347,17.6906,0.969,20.994,58.0031,2.7679,1376.0947,30.0,11.0739,14.8608,34.7605,18.1313,0,Infection_Indicators
35.9043,62.7422,15.9946,32.1757,1.1,1.2916,24.7317,10.5753,41.8204,20.0793,170.6678,30.2392,151.8174,21.6895,0.8977,37.3086,79.0885,2.7543,767.8222,73.4053,15.6736,29.4096,48.2036,13.23,0,Infection_Indicators
27.409,49.5869,16.2221,26.6535,1.4715,1.5593,22.9171,14.2032,55.7872,22.1587,138.0473,36.7362,152.2483,18.1601,0.8363,44.8286,93.9108,2.8368,1353.4446,65.5834,6.0,20.5507,46.6335,19.5242,0,Infection_Indicators
12.0,38.0974,15.4808,31.2864,1.3901,1.408,19.0339,11.8587,52.2895,19.8944,139.3404,28.3178,140.9266,20.3886,0.7829,23.6073,78.4639,2.5682,1523.9746,75.1061,16.7343,12.8043,52.6956,24.6981,0,Infection_Indicators
16.3357,34.0883,17.675,27.3563,1.495,1.1576,24.8452,11.0262,39.8331,17.318,106.9269,38.5239,168.6934,13.3703,0.8331,28.6068,86.3848,2.6378,1654.903,84.6392,9.2582,24.1258,55.1627,19.7839,0,Infection_Indicators
26.9475,40.2976,18.5719,30.7963,1.2877,1.2521,23.273,18.641,29.3843,13.8172,125.0694,27.4498,155.4159,10.2014,0.8171,42.4115,101.153,2.5271,811.305,67.1828,11.8133,19.3701,56.3876,31.713,0,Infection_Indicators
24.3478,48.548,21.8665,31.6214,1.4118,1.1542,17.9684,15.6072,60.9789,21.2613,112.2087,43.8677,156.3065,14.9766,0.8133,35.7919,71.7533,2.7107,945.8467,71.5681,10.5424,20.1544,45.5323,24.2328,0,Infection_Indicators
33.5231,58.2769,27.4146,36.3188,1.2496,1.4422,20.4123,13.5624,38.9461,14.8926,119.6762,26.1772,155.5298,13.137,0.9332,50.3901,73.6361,2.8696,1299.874,72.496,14.3038,25.4561,46.858,14.9552,0,Infection_Indicators
20.3933,50.8086,16.9588,29.9722,1.1,1.4456,22.8897,13.4214,55.9627,20.8853,172.3277,26.7458,161.815,11.9307,0.8569,55.1272,112.5784,2.605,908.3796,32.0769,11.2385,21.0246,49.3454,22.8925,0,Infection_Indicators
18.4326,33.6224,24.1102,32.0358,1.4307,1.4544,21.7389,18.3727,43.0182,15.2449,133.297,26.2221,176.6437,20.9787,0.8392,45.2363,96.808,2.65,1319.5535,59.4108,13.4982,22.9673,43.6871,10.0,0,Infection_Indicators
21.3027,43.3653,10.0,18.3264,1.3785,1.5355,19.8391,15.1586,42.4954,25.1591,90.4395,34.5131,149.0853,18.1391,0.9235,29.5668,56.1782,2.6757,1144.842,95.4035,12.8759,23.5498,36.7627,21.1287,0,Infection_Indicators
16.9757,33.3668,17.7479,35.2662,1.463,1.7342,11.3873,6.9803,62.8387,19.7533,129.1341,35.7424,140.0,16.0135,0.9676,43.772,68.3878,3.0,729.8301,68.5969,10.4186,18.5514,35.0335,27.2324,0,Infection_Indicators
12.0,24.3625,19.6583,35.1714,1.3136,1.2776,28.7374,18.3339,36.1324,21.7721,171.39,32.9241,158.5301,17.3534,0.8713,42.4951,80.5469,2.6261,1233.4911,58.643,13.6395,27.1403,41.5233,18.4617,0,Infection_Indicators
22.5254,53.8867,10.0,16.7988,1.2351,1.4338,24.7604,12.5324,29.111,20.7887,108.2928,23.6723,151.6296,15.2619,0.8424,47.6681,93.9373,2.6776,1360.6088,43.5217,13.194,20.9609,47.7904,27.3442,0,Infection_Indicators
29.8446,56.8796,24.5743,40.2104,1.1598,1.4092,24.1564,20.6047,39.5142,20.3797,141.0174,31.1749,158.492,16.872,0.9397,46.8198,102.3849,2.8807,1845.85,83.9787,13.6304,13.6973,35.0974,29.066,0,Infection_Indicators
20.8278,50.9846,11.4068,23.4915,1.1929,1.6431,21.4518,18.6223,40.0795,21.8454,124.6613,38.2317,157.2029,18.213,0.8311,27.9393,75.7249,2.6286,1285.2825,39.3915,17.3927,13.6049,47.4184,27.0666,0,Infection_Indicators
13.3753,34.0222,24.5209,30.8947,1.2734,1.4786,16.4174,14.7677,34.8819,23.241,142.9148,29.9542,152.716,18.5785,0.8942,38.1846,92.5055,2.8119,1061.0653,54.9318,18.8592,17.4146,28.5037,27.1635,0,Infection_Indicators
